feature,drift_score,drift_status,train_mean,test_mean,mean_diff_pct
DGS10,1.1420084507732782,Significant,3.2268210150190426,3.175387114821299,1.5939495855752093
DFF,1.1392005366506963,Significant,4.022532747213914,3.9761815988238576,1.152287658093218
DGS30,0.28268965349709285,Significant,3.7994600126433196,3.780417918458054,0.5011789602048384
DGS10_lag1,1.1568251932119182,Significant,3.2269853294947994,3.1751345743297303,1.6067862066041623
DGS10_lag5,1.1923155376855996,Significant,3.227330926744672,3.1760530181485613,1.5888642893601392
DGS10_lag10,1.2312123915109323,Significant,3.2277311060207667,3.17739546923186,1.5594742911965367
DGS10_roll_mean_7,1.279313269699035,Significant,3.227149398154637,3.1756407884191344,1.5961024228800942
DGS10_roll_std_7,0.1529816164338599,Stable,0.049168640946817714,0.050485487504821513,2.678224433231571
DGS10_roll_mean_30,5.2699743637985845,Significant,3.2280234648034183,3.177737141529135,1.5578053821795168
DGS10_roll_std_30,0.5914183696390638,Significant,0.08294209665382105,0.08001030497817688,3.53474506961883
DGS10_return,0.03174631144714882,Stable,6.827009511672466e-05,0.0002102007271246908,207.89545388774835
DGS10_return_lag1,0.03243946444068644,Stable,8.695051188895826e-05,0.00011665010189374694,34.156849916958656
DGS10_diff,0.033045443928587076,Stable,-0.00016431447575676923,0.0002525404915688536,253.69354653586953
DGS10_diff_pct,0.03174631144714882,Stable,6.827009511672466e-05,0.0002102007271246908,207.89545388774835
DGS10_ma_crossover,0.2549215182174485,Significant,-0.0008740666487817682,-0.0020963531100008704,139.8390617879916
DFF_lag1,1.1517299940768317,Significant,4.0226910527496305,3.9761249841240907,1.1575850099786538
DFF_lag5,1.1761867311627825,Significant,4.023569910786202,3.9746319269601966,1.2162826770723822
DFF_lag10,1.2277094389449417,Significant,4.025111809543957,3.9724279323754725,1.3088798438407783
DFF_roll_mean_7,1.4918589478137445,Significant,4.023138088914926,3.975379836828973,1.1870895561938595
DFF_roll_std_7,0.07855916044718662,Stable,0.07663430605766762,0.06927763498788667,9.5997098931715
DFF_roll_mean_30,5.007460546071687,Significant,4.026156976697204,3.9724950678620865,1.332832006908128
DFF_roll_std_30,1.529957363883282,Significant,0.12514635942807206,0.09849844448466123,21.293400018906127
DFF_return,0.07427848123747341,Stable,0.00014981707403324132,0.0001722253311462492,14.957068345205837
DFF_return_lag1,0.07144313108945341,Stable,0.0001251169324470137,0.00024237429970106324,93.71814928851296
DFF_diff,0.06679177495715691,Stable,-0.00015830553571616836,5.6614699767269944e-05,135.76301692430619
DFF_diff_pct,0.07427848123747341,Stable,0.00014981707403324132,0.0001722253311462492,14.957068345205837
DFF_ma_crossover,0.8817681783480877,Significant,-0.003018887782277505,0.0028847689668864414,195.55734994122466
DGS30_lag1,0.284902301810203,Significant,3.7994809432218126,3.780374154240147,0.5028789265346578
DGS30_lag5,0.3150364820961826,Significant,3.7994791078665755,3.780962446185939,0.4873473745864686
DGS30_lag10,0.36395623562073437,Significant,3.80008924422316,3.780120525891536,0.5254802465877627
DGS30_roll_mean_7,0.5764437960709927,Significant,3.7994766576570136,3.7806553033504104,0.4953670203020581
DGS30_roll_std_7,0.10480312804616057,Stable,0.03709956971280345,0.03851397155011148,3.8124480807858485
DGS30_roll_mean_30,0.7039069726655743,Significant,3.8002857823225225,3.780388271019172,0.5235793422532232
DGS30_roll_std_30,2.9809486554853573,Significant,0.0643215853508791,0.056110885874777305,12.765076324762111
DGS30_return,0.009040273660533154,Stable,4.409779673478858e-05,6.731895142675278e-05,52.65819100538908
DGS30_return_lag1,0.01022207935209573,Stable,5.2503344429244486e-05,3.167916055824773e-05,39.66250995029511
DGS30_diff,0.024996347342086694,Stable,-2.0930578493093514e-05,4.37642179071995e-05,309.0937286581409
DGS30_diff_pct,0.009040273660533154,Stable,4.409779673478858e-05,6.731895142675278e-05,52.65819100538908
DGS30_ma_crossover,1.021481342742549,Significant,-0.0008091246655087679,0.0002670323312386717,133.00263551765542
day_of_week,7.50218758647506e-05,Stable,3.0,2.9977426636568847,0.07524454476800227
day_of_month,0.0010302101754312127,Stable,15.735294117647058,15.848758465011286,0.7210818337120098
day_of_year,0.12067816571868203,Stable,179.57692307692307,203.74943566591423,13.460812321983731
month,0.09791101245696054,Stable,6.403846153846154,7.194130925507901,12.340783220951684
quarter,0.0746212746006927,Stable,2.465497737556561,2.7426636568848757,11.241783559361883
year,19.6689993729351,Significant,2021.8031674208146,2024.7629796839728,0.1463946793066854
week_of_year,0.12707735087074531,Stable,26.087669683257918,29.51918735891648,13.153791493487157
day_of_week_sin,4.723392506158523e-05,Stable,-0.0005514298145824737,0.00318016174108213,676.7120916742862
day_of_week_cos,2.9509286560555014e-05,Stable,0.0011450558086884052,-0.0025360943608549566,321.48213389509556
month_sin,0.05306015696575809,Stable,0.022204937923754345,-0.12824128472337545,677.5349811208021
month_cos,0.04791118185078582,Stable,-0.017998024929688255,0.1007104666134282,659.5639947518209
is_weekend,1.544622665370378e-05,Stable,0.2861990950226244,0.28442437923250563,0.6200983232872885
is_month_end,3.452034709117082e-05,Stable,0.032805429864253395,0.033860045146726865,3.2147582995334516
is_quarter_end,2.6776666207630223e-05,Stable,0.010746606334841629,0.011286681715575621,5.0255434960659855
