feature,importance,importance_pct
DFF_lag1,0.8180761015595223,81.80761015595223
DFF_diff,0.06645230843752159,6.64523084375216
DFF_diff_pct,0.05178099882341952,5.178099882341953
DFF_return,0.05168598709855304,5.1685987098553055
DGS10_roll_std_7,0.0006052631967662125,0.060526319676621254
DFF_roll_std_7,0.0006009441224359005,0.06009441224359006
DGS30_roll_std_30,0.0005790674673144642,0.05790674673144643
DGS10_ma_crossover,0.0005726909654938878,0.05726909654938879
DFF_roll_mean_7,0.0004458073300394749,0.0445807330039475
DGS30_roll_std_7,0.0004402153519231258,0.04402153519231259
DFF_ma_crossover,0.0004338294275389886,0.04338294275389886
DGS10_roll_std_30,0.000395062757996282,0.039506275799628204
DFF_roll_std_30,0.0003653285011856003,0.036532850118560035
DGS10_lag1,0.00032457116805311494,0.0324571168053115
DGS30_return,0.0003168303506132216,0.03168303506132217
DGS30_roll_mean_30,0.00031317828564367056,0.03131782856436706
DGS10_lag5,0.00031302840247834804,0.03130284024783481
DGS30_lag10,0.0003059281115373324,0.030592811153733246
DFF_roll_mean_30,0.0002979335014729779,0.029793350147297795
DGS10_diff,0.000290180046476904,0.029018004647690405
day_of_month,0.0002836851900749155,0.028368519007491554
DGS10_return,0.00027377088079336755,0.02737708807933676
DGS30_lag1,0.0002730602347421879,0.0273060234742188
DGS10_roll_mean_7,0.0002658508565467492,0.026585085654674927
DGS30_diff_pct,0.000260451814553663,0.026045181455366304
DFF_lag10,0.0002551881747038671,0.025518817470386715
DGS10_roll_mean_30,0.0002477007931914746,0.024770079319147462
DGS10_diff_pct,0.0002446831445819804,0.024468314458198043
DGS30_ma_crossover,0.0002337731957702133,0.023377319577021334
DGS30_return_lag1,0.0002317461971297137,0.02317461971297137
DGS10_lag10,0.00022542405869061357,0.02254240586906136
DGS30_diff,0.00022540784232506387,0.02254078423250639
DGS30_lag5,0.00022524489872218726,0.02252448987221873
day_of_year,0.0002200412637655453,0.022004126376554533
DGS10_return_lag1,0.00021880121853962847,0.02188012185396285
DGS30_roll_mean_7,0.00020906041303474503,0.020906041303474506
DFF_lag5,0.00018910827491495403,0.018910827491495405
month_sin,0.00018907859895632716,0.01890785989563272
month_cos,0.00017875113289323455,0.01787511328932346
DFF_return_lag1,0.00016515072466002592,0.016515072466002593
day_of_week_cos,0.00016134734394134751,0.016134734394134754
week_of_year,0.00015064282444018324,0.015064282444018326
year,0.00011809803054603484,0.011809803054603486
day_of_week_sin,0.00011391771826031238,0.011391771826031238
month,8.909766589292186e-05,0.008909766589292187
day_of_week,8.318933745640174e-05,0.008318933745640175
quarter,5.624594592440276e-05,0.005624594592440277
is_weekend,1.1559089830669086e-05,0.0011559089830669089
is_month_end,3.0963717888620947e-06,0.00030963717888620953
is_quarter_end,1.5718573422563177e-06,0.0001571857342256318
